,plugin_id,cve_id,CVSS_v2.0_base_score,risk,host,protocol,port,name,synopsis,description,solution,cvss_v3,cvss_v2,vpr,epss,age_days,core_impact,real_row,source
0,10107,,,,65.61.137.117,tcp,80,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",,,,,,9405.0,,"{'Plugin ID': '10107', 'CVE': nan, 'CVSS v2.0 Base Score': nan, 'Risk': nan, 'Host': '65.61.137.117', 'Protocol': 'tcp', 'Port': '80', 'Name': 'HTTP Server Type and Version', 'Synopsis': 'A web server is running on the remote host.', 'Description': 'This plugin attempts to determine the type and the version of the\n  remote web server.', 'Solution': nan, 'See Also': nan, 'Plugin Output': 'The remote web server type is :\n\nApache-Coyote/1.1', 'STIG Severity': nan, 'CVSS v4.0 Base Score': nan, 'CVSS v4.0 Base+Threat Score': nan, 'CVSS v3.0 Base Score': nan, 'CVSS v2.0 Temporal Score': nan, 'CVSS v3.0 Temporal Score': nan, 'VPR Score': nan, 'EPSS Score': nan, 'Risk Factor': nan, 'BID': nan, 'XREF': 'IAVT:0001-T-0931', 'MSKB': nan, 'Plugin Publication Date': '2000/01/04', 'Plugin Modification Date': '2020/10/30', 'Metasploit': nan, 'Core Impact': nan, 'CANVAS': nan}",
1,10107,,,,65.61.137.117,tcp,443,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",,,,,,9405.0,,"{'Plugin ID': '10107', 'CVE': nan, 'CVSS v2.0 Base Score': nan, 'Risk': nan, 'Host': '65.61.137.117', 'Protocol': 'tcp', 'Port': '443', 'Name': 'HTTP Server Type and Version', 'Synopsis': 'A web server is running on the remote host.', 'Description': 'This plugin attempts to determine the type and the version of the\n  remote web server.', 'Solution': nan, 'See Also': nan, 'Plugin Output': 'The remote web server type is :\n\nApache-Coyote/1.1', 'STIG Severity': nan, 'CVSS v4.0 Base Score': nan, 'CVSS v4.0 Base+Threat Score': nan, 'CVSS v3.0 Base Score': nan, 'CVSS v2.0 Temporal Score': nan, 'CVSS v3.0 Temporal Score': nan, 'VPR Score': nan, 'EPSS Score': nan, 'Risk Factor': nan, 'BID': nan, 'XREF': 'IAVT:0001-T-0931', 'MSKB': nan, 'Plugin Publication Date': '2000/01/04', 'Plugin Modification Date': '2020/10/30', 'Metasploit': nan, 'Core Impact': nan, 'CANVAS': nan}",
2,10107,,,,65.61.137.117,tcp,8080,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",,,,,,9405.0,,"{'Plugin ID': '10107', 'CVE': nan, 'CVSS v2.0 Base Score': nan, 'Risk': nan, 'Host': '65.61.137.117', 'Protocol': 'tcp', 'Port': '8080', 'Name': 'HTTP Server Type and Version', 'Synopsis': 'A web server is running on the remote host.', 'Description': 'This plugin attempts to determine the type and the version of the\n  remote web server.', 'Solution': nan, 'See Also': nan, 'Plugin Output': 'The remote web server type is :\n\nApache-Coyote/1.1', 'STIG Severity': nan, 'CVSS v4.0 Base Score': nan, 'CVSS v4.0 Base+Threat Score': nan, 'CVSS v3.0 Base Score': nan, 'CVSS v2.0 Temporal Score': nan, 'CVSS v3.0 Temporal Score': nan, 'VPR Score': nan, 'EPSS Score': nan, 'Risk Factor': nan, 'BID': nan, 'XREF': 'IAVT:0001-T-0931', 'MSKB': nan, 'Plugin Publication Date': '2000/01/04', 'Plugin Modification Date': '2020/10/30', 'Metasploit': nan, 'Core Impact': nan, 'CANVAS': nan}",
3,10114,CVE-1999-0524,2.1,Low,65.61.137.117,icmp,0,ICMP Timestamp Request Remote Date Disclosure,It is possible to determine the exact time set on the remote host.,"The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).",,2.0999999046325684,2.200000047683716,0.003700000001117587,9561.0,,"{'Plugin ID': '10114', 'CVE': 'CVE-1999-0524', 'CVSS v2.0 Base Score': '2.1', 'Risk': 'Low', 'Host': '65.61.137.117', 'Protocol': 'icmp', 'Port': '0', 'Name': 'ICMP Timestamp Request Remote Date Disclosure', 'Synopsis': 'It is possible to determine the exact time set on the remote host.', 'Description': 'The remote host answers to an ICMP timestamp request.  This allows an\nattacker to know the date that is set on the targeted machine, which\nmay assist an unauthenticated, remote attacker in defeating time-based\nauthentication protocols.\n\nTimestamps returned from machines running Windows Vista / 7 / 2008 /\n2008 R2 are deliberately incorrect, but usually within 1000 seconds of\nthe actual system time.', 'Solution': 'Filter out the ICMP timestamp requests (13), and the outgoing ICMP\ntimestamp replies (14).', 'See Also': nan, 'Plugin Output': 'This host returns non-standard timestamps (high bit is set)\nThe ICMP timestamps might be in little endian format (not in network format)\nThe difference between the local and remote clocks is 15 seconds.\n', 'STIG Severity': nan, 'CVSS v4.0 Base Score': nan, 'CVSS v4.0 Base+Threat Score': nan, 'CVSS v3.0 Base Score': nan, 'CVSS v2.0 Temporal Score': nan, 'CVSS v3.0 Temporal Score': nan, 'VPR Score': '2.2', 'EPSS Score': '0.0037', 'Risk Factor': 'Low', 'BID': nan, 'XREF': 'CWE:200', 'MSKB': nan, 'Plugin Publication Date': '1999/08/01', 'Plugin Modification Date': '2024/10/07', 'Metasploit': nan, 'Core Impact': nan, 'CANVAS': nan}",
4,10287,,,,65.61.137.117,udp,0,Traceroute Information,It was possible to obtain traceroute information.,Makes a traceroute to the remote host.,,,,,,9443.0,,"{'Plugin ID': '10287', 'CVE': nan, 'CVSS v2.0 Base Score': nan, 'Risk': nan, 'Host': '65.61.137.117', 'Protocol': 'udp', 'Port': '0', 'Name': 'Traceroute Information', 'Synopsis': 'It was possible to obtain traceroute information.', 'Description': 'Makes a traceroute to the remote host.', 'Solution': nan, 'See Also': nan, 'Plugin Output': 'For your information, here is the traceroute from 192.168.1.47 to 65.61.137.117 : \n192.168.1.47\n192.168.1.1\n65.61.137.117\n?\n65.61.137.117\n\nHop Count: 5\n', 'STIG Severity': nan, 'CVSS v4.0 Base Score': nan, 'CVSS v4.0 Base+Threat Score': nan, 'CVSS v3.0 Base Score': nan, 'CVSS v2.0 Temporal Score': nan, 'CVSS v3.0 Temporal Score': nan, 'VPR Score': nan, 'EPSS Score': nan, 'Risk Factor': nan, 'BID': nan, 'XREF': nan, 'MSKB': nan, 'Plugin Publication Date': '1999/11/27', 'Plugin Modification Date': '2023/12/04', 'Metasploit': nan, 'Core Impact': nan, 'CANVAS': nan}",
5,10539,CVE-1999-0024,5.0,Medium,65.61.137.117,udp,53,DNS Server Recursive Query Cache Poisoning Weakness,"The remote name server allows recursive queries to be performed
by the host running nessusd.","It is possible to query the remote name server for third-party
names.

If this is your internal nameserver, then the attack vector may
be limited to employees or guest access if allowed.

If you are probing a remote nameserver, then it allows anyone
to use it to resolve third party names (such as www.nessus.org).
This allows attackers to perform cache poisoning attacks against
this nameserver.

If the host allows these recursive queries via UDP, then the
host can be used to 'bounce' Denial of Service attacks against
another network or system.","Restrict recursive queries to the hosts that should
use this nameserver (such as those of the LAN connected to it).

If you are using bind 8, you can do this by using the instruction
'allow-recursion' in the 'options' section of your named.conf.

If you are using bind 9, you can define a grouping of internal addresses
using the 'acl' command.

Then, within the options block, you can explicitly state:
'allow-recursion { hosts_defined_in_acl }'

If you are using another name server, consult its documentation.",,5.0,4.199999809265137,0.013199999928474426,9108.0,,"{'Plugin ID': '10539', 'CVE': 'CVE-1999-0024', 'CVSS v2.0 Base Score': '5.0', 'Risk': 'Medium', 'Host': '65.61.137.117', 'Protocol': 'udp', 'Port': '53', 'Name': 'DNS Server Recursive Query Cache Poisoning Weakness', 'Synopsis': 'The remote name server allows recursive queries to be performed\nby the host running nessusd.', 'Description': ""It is possible to query the remote name server for third-party\nnames.\n\nIf this is your internal nameserver, then the attack vector may\nbe limited to employees or guest access if allowed.\n\nIf you are probing a remote nameserver, then it allows anyone\nto use it to resolve third party names (such as www.nessus.org).\nThis allows attackers to perform cache poisoning attacks against\nthis nameserver.\n\nIf the host allows these recursive queries via UDP, then the\nhost can be used to 'bounce' Denial of Service attacks against\nanother network or system."", 'Solution': ""Restrict recursive queries to the hosts that should\nuse this nameserver (such as those of the LAN connected to it).\n\nIf you are using bind 8, you can do this by using the instruction\n'allow-recursion' in the 'options' section of your named.conf.\n\nIf you are using bind 9, you can define a grouping of internal addresses\nusing the 'acl' command.\n\nThen, within the options block, you can explicitly state:\n'allow-recursion { hosts_defined_in_acl }'\n\nIf you are using another name server, consult its documentation."", 'See Also': 'http://www.nessus.org/u?c4dcf24a', 'Plugin Output': nan, 'STIG Severity': nan, 'CVSS v4.0 Base Score': nan, 'CVSS v4.0 Base+Threat Score': nan, 'CVSS v3.0 Base Score': nan, 'CVSS v2.0 Temporal Score': '3.7', 'CVSS v3.0 Temporal Score': nan, 'VPR Score': '4.2', 'EPSS Score': '0.0132', 'Risk Factor': 'Medium', 'BID': '136;678', 'XREF': 'CERT-CC:CA-1997-22', 'MSKB': nan, 'Plugin Publication Date': '2000/10/27', 'Plugin Modification Date': '2018/06/27', 'Metasploit': nan, 'Core Impact': nan, 'CANVAS': nan}",
6,10863,,,,65.61.137.117,tcp,443,SSL Certificate Information,This plugin displays the SSL certificate.,"This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.",,,,,,6347.0,,"{'Plugin ID': '10863', 'CVE': nan, 'CVSS v2.0 Base Score': nan, 'Risk': nan, 'Host': '65.61.137.117', 'Protocol': 'tcp', 'Port': '443', 'Name': 'SSL Certificate Information', 'Synopsis': 'This plugin displays the SSL certificate.', 'Description': 'This plugin connects to every SSL-related port and attempts to \nextract and dump the X.509 certificate.', 'Solution': nan, 'See Also': nan, 'Plugin Output': 'Subject Name: \n\nCommon Name: demo.testfire.net\n\nIssuer Name: \n\nCountry: GB\nState/Province: Greater Manchester\nLocality: Salford\nOrganization: Sectigo Limited\nCommon Name: Sectigo RSA Domain Validation Secure Server CA\n\nSerial Number: 08 50 B6 E8 F9 97 75 EB C9 76 89 EB 83 FB 71 6D \n\nVersion: 3\n\nSignature Algorithm: SHA-256 With RSA Encryption\n\nNot Valid Before: May 21 00:00:00 2025 GMT\nNot Valid After: Jun 21 23:59:59 2026 GMT\n\nPublic Key Info: \n\nAlgorithm: RSA Encryption\nKey Length: 2048 bits\nPublic Key: 00 91 EE 62 4F C4 2D 8C 32 95 9B 22 01 40 DA 0F 2B F7 52 D5 \n            5F 9D 81 E0 8A FD 23 82 98 2D 78 45 0B CF 7E 6D A2 E0 68 88 \n            A5 32 E4 66 CE B1 76 3F 9E 72 CD 29 49 1C 0E 7B 51 12 7C 1F \n            1D 34 C2 59 63 C1 B9 02 93 74 FF 52 A5 22 63 4F E4 B1 0C F8 \n            A7 31 DA F8 1D 39 33 6E AD 0D 9B 41 E0 58 3C E5 28 A7 8B 2A \n            62 0E 1E 80 EC EE 76 CF 04 90 E1 85 35 EB 93 5B E8 AD 61 03 \n            44 8B 7B E9 BA DF F9 0B 29 6C 1C 20 36 54 4B CA 61 64 4F 88 \n            29 C6 73 B0 13 BC 5C B4 15 55 FE B3 36 D1 A0 D7 FD 46 4C F1 \n            09 2C E1 9D AE 24 5D F5 03 67 7E 45 37 93 24 52 99 37 B1 F7 \n            69 86 63 17 C6 2E F0 13 2E 56 3E 6E 8B 51 1B E6 FC 62 2D CD \n            89 B2 C3 B3 7E 18 E3 73 B2 E3 AD D3 CC 5C 26 BC 3D A7 45 94 \n            32 6F 53 97 A5 A8 F4 CB 8C 7F 2B AA 79 F6 2D C0 7A C6 78 14 \n            84 C3 FE D2 C3 00 DE 9E E0 3A CA 43 C6 8F 8E D0 65 \nExponent: 01 00 01 \n\nSignature Length: 256 bytes / 2048 bits\nSignature: 00 1C 4B B8 52 E0 28 3F 9B 82 F0 75 38 F0 C9 D3 25 A3 D6 CF \n           12 97 0A C4 97 0B EA 53 01 D3 A7 8A DE A4 8A A7 47 2F 0D 25 \n           8B 05 11 71 00 CF 4F 6B 18 CA 4F 32 AE 4C 18 C4 C4 DD 68 61 \n           A4 E3 D9 73 7A 67 EA B0 28 F8 23 4B 88 15 B8 A5 76 6D 6D 6B \n           F5 58 E7 2F A2 8C 72 64 3E FD 3A 79 0F CD DD B8 91 BB 85 98 \n           F0 F8 4E 87 8D 5D 4C 97 48 DD 26 61 8D 4A 0C 6D 61 5E A5 AC \n           0E 0F 35 80 39 CC C4 C5 60 1A FB 8A 32 CF 00 DA 7B 9B 01 69 \n           3A 17 05 F4 1F B5 C0 ED E0 3B 92 7B 3D 34 4A 98 43 BD 1A 30 \n           3A DC 31 1A 54 7A C3 1F AA 27 9A 81 03 09 F8 82 1C 5A CB 96 \n           BE B1 0A DC 38 E0 46 D8 F4 70 D5 C3 69 8C F0 61 5C 2A 0A DF \n           42 E1 09 8E A5 B4 24 4A 4F F9 C6 B2 4A 89 F8 F2 09 31 FC 58 \n           CE C2 B6 44 77 13 DA 8C 66 7B 4D 32 60 61 83 99 CC 35 28 AD \n           67 EE 64 46 F3 15 1B 65 A8 0E E2 59 59 67 1D F2 BD \n\nExtension: Authority Key Identifier(2.5.29.35)\nCritical: 0\nKey Identifier: 8D 8C 5E C4 54 AD 8A E1 77 E9 9B F9 9B 05 E1 B8 01 8D 61 E1 \n\n\nExtension: Subject Key Identifier(2.5.29.14)\nCritical: 0\nSubject Key Identifier: 0F E6 E6 EB BF F0 80 ED F6 F4 9B 83 2A 9A 3C 89 C5 DF 11 EC \n\n\nExtension: Key Usage(2.5.29.15)\nCritical: 1\nKey Usage: Digital Signature, Key Encipherment\n\n\nExtension: Basic Constraints(2.5.29.19)\nCritical: 1\n\n\nExtension: Extended Key Usage(2.5.29.37)\nCritical: 0\nPurpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)\nPurpose#2: Web Client Authentication (1.3.6.1.5.5.7.3.2)\n\n\nExtension: Policies(2.5.29.32)\nCritical: 0\nPolicy ID #1: 1.3.6.1.4.1.6449.1.2.2.7\nQualifier ID #1: Certification Practice Statement(1.3.6.1.5.5.7.2.1)\nCPS URI: https://sectigo.com/CPS\nPolicy ID #2: 2.23.140.1.2.1\n\n\nExtension: Authority Information Access(1.3.6.1.5.5.7.1.1)\nCritical: 0\nMethod#1: Certificate Authority Issuers\nURI: http://crt.sectigo.com/SectigoRSADomainValidationSecureServerCA.crt\nMethod#2: Online Certificate Status Protocol\nURI: http://ocsp.sectigo.com\n\n\nExtension: 1.3.6.1.4.1.11129.2.4.2\nCritical: 0\nData: 04 82 01 6B 01 69 00 77 00 96 97 64 BF 55 58 97 AD F7 43 87 \n      68 37 08 42 77 E9 F0 3A D5 F6 A4 F3 36 6E 46 A4 3F 0F CA A9 \n      C6 00 00 01 96 F3 13 C6 E0 00 00 04 03 00 48 30 46 02 21 00 \n      98 85 D5 AA E6 6F 2C 05 8A 56 AF 9F 08 B4 80 B8 17 2A F7 8D \n      C0 1E 25 51 E3 F9 2B C4 5F 79 9A A7 02 21 00 F7 DB 5E 2C A6 \n      55 CC BD FF 2B 15 5A 2B 18 39 4E 1D 7C 1B DC 10 22 C9 27 40 \n      AD 91 4C 01 08 D6 34 00 76 00 19 86 D4 C7 28 AA 6F FE BA 03 \n      6F 78 2A 4D 01 91 AA CE 2D 72 31 0F AE CE 5D 70 41 2D 25 4C \n      C7 D4 00 00 01 96 F3 13 C6 8A 00 00 04 03 00 47 30 45 02 20 \n      37 5E 1E 00 62 F7 3D F6 77 E6 5C EB 52 32 CD 92 D5 56 C7 5A \n      0E E0 D3 35 86 7C 9D 64 46 1D 54 41 02 21 00 8A 5A 2F 53 A8 \n      F8 25 38 AA 1D EF 6A BC 3F 2D 03 84 62 4F 2C 70 06 EA 3B B1 \n      80 51 B6 16 DF BF 80 00 76 00 0E 57 94 BC F3 AE A9 3E 33 1B \n      2C 99 07 B3 F7 90 DF 9B C2 3D 71 32 25 DD 21 A9 25 AC 61 C5 \n      4E 21 00 00 01 96 F3 13 C6 8A 00 00 04 03 00 47 30 45 02 20 \n      4E 7E A3 94 3E 18 5D F6 98 BC 4F 4F FD E9 50 1F 56 65 2C F2 \n      5E CB 01 05 EB DE 1C 61 CD 0A 2E 70 02 21 00 85 F6 83 5E E3 \n      6E 9B 27 59 3A 78 22 60 E6 CE E5 40 28 3A B3 A4 C5 25 F2 A7 \n      12 ED 4E C8 CE D9 41 \n\n\nExtension: Subject Alternative Name(2.5.29.17)\nCritical: 0\nDNS: demo.testfire.net\n\n\nFingerprints : \n\nSHA-256 Fingerprint: B0 EA C2 25 50 1D B5 94 A9 63 9F 9E 71 8B C0 36 75 9B 9F 49 \n                     2C 7C 72 9A 60 C8 47 35 68 39 33 82 \nSHA-1 Fingerprint: A1 E9 8D 60 38 8B 84 F4 BB C5 50 D7 B6 1B B2 B0 CC 89 61 FD \nMD5 Fingerprint: 04 A1 27 72 00 69 3D 65 01 1D DE D8 CC B0 20 1C \n\n\nPEM certificate : \n\n-----BEGIN CERTIFICATE-----\nMIIGLDCCBRSgAwIBAgIQCFC26PmXdevJdonrg/txbTANBgkqhkiG9w0BAQsFADCBjzELMAkGA1UEBhMCR0IxGzAZBgNVBAgTEkdyZWF0ZXIgTWFuY2hlc3RlcjEQMA4GA1UEBxMHU2FsZm9yZDEYMBYGA1UEChMPU2VjdGlnbyBMaW1pdGVkMTcwNQYDVQQDEy5TZWN0aWdvIFJTQSBEb21haW4gVmFsaWRhdGlvbiBTZWN1cmUgU2VydmVyIENBMB4XDTI1MDUyMTAwMDAwMFoXDTI2MDYyMTIzNTk1OVowHDEaMBgGA1UEAxMRZGVtby50ZXN0ZmlyZS5uZXQwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCR7mJPxC2MMpWbIgFA2g8r91LVX52B4Ir9I4KYLXhFC89+baLgaIilMuRmzrF2P55yzSlJHA57URJ8Hx00wlljwbkCk3T/UqUiY0/ksQz4pzHa+B05M26tDZtB4Fg85SiniypiDh6A7O52zwSQ4YU165Nb6K1hA0SLe+m63/kLKWwcIDZUS8phZE+IKcZzsBO8XLQVVf6zNtGg1/1GTPEJLOGdriRd9QNnfkU3kyRSmTex92mGYxfGLvATLlY+botRG+b8Yi3NibLDs34Y43Oy463TzFwmvD2nRZQyb1OXpaj0y4x/K6p59i3AesZ4FITD/tLDAN6e4DrKQ8aPjtBlAgMBAAGjggL0MIIC8DAfBgNVHSMEGDAWgBSNjF7EVK2K4Xfpm/mbBeG4AY1h4TAdBgNVHQ4EFgQUD+bm67/wgO329JuDKpo8icXfEewwDgYDVR0PAQH/BAQDAgWgMAwGA1UdEwEB/wQCMAAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMEkGA1UdIARCMEAwNAYLKwYBBAGyMQECAgcwJTAjBggrBgEFBQcCARYXaHR0cHM6Ly9zZWN0aWdvLmNvbS9DUFMwCAYGZ4EMAQIBMIGEBggrBgEFBQcBAQR4MHYwTwYIKwYBBQUHMAKGQ2h0dHA6Ly9jcnQuc2VjdGlnby5jb20vU2VjdGlnb1JTQURvbWFpblZhbGlkYXRpb25TZWN1cmVTZXJ2ZXJDQS5jcnQwIwYIKwYBBQUHMAGGF2h0dHA6Ly9vY3NwLnNlY3RpZ28uY29tMIIBfwYKKwYBBAHWeQIEAgSCAW8EggFrAWkAdwCWl2S/VViXrfdDh2g3CEJ36fA61fak8zZuRqQ/D8qpxgAAAZbzE8bgAAAEAwBIMEYCIQCYhdWq5m8sBYpWr58ItIC4Fyr3jcAeJVHj+SvEX3mapwIhAPfbXiymVcy9/ysVWisYOU4dfBvcECLJJ0CtkUwBCNY0AHYAGYbUxyiqb/66A294Kk0BkarOLXIxD67OXXBBLSVMx9QAAAGW8xPGigAABAMARzBFAiA3Xh4AYvc99nfmXOtSMs2S1VbHWg7g0zWGfJ1kRh1UQQIhAIpaL1Oo+CU4qh3varw/LQOEYk8scAbqO7GAUbYW37+AAHYADleUvPOuqT4zGyyZB7P3kN+bwj1xMiXdIaklrGHFTiEAAAGW8xPGigAABAMARzBFAiBOfqOUPhhd9pi8T0/96VAfVmUs8l7LAQXr3hxhzQoucAIhAIX2g17jbpsnWTp4ImDmzuVAKDqzpMUl8qcS7U7IztlBMBwGA1UdEQQVMBOCEWRlbW8udGVzdGZpcmUubmV0MA0GCSqGSIb3DQEBCwUAA4IBAQAcS7hS4Cg/m4LwdTjwydMlo9bPEpcKxJcL6lMB06eK3qSKp0cvDSWLBRFxAM9PaxjKTzKuTBjExN1oYaTj2XN6Z+qwKPgjS4gVuKV2bW1r9VjnL6KMcmQ+/Tp5D83duJG7hZjw+E6HjV1Ml0jdJmGNSgxtYV6lrA4PNYA5zMTFYBr7ijLPANp7mwFpOhcF9B+1wO3gO5J7PTRKmEO9GjA63DEaVHrDH6onmoEDCfiCHFrLlr6xCtw44EbY9HDVw2mM8GFcKgrfQuEJjqW0JEpP+caySon48gkx/FjOwrZEdxPajGZ7TTJgYYOZzDUorWfuZEbzFRtlqA7iWVlnHfK9\n-----END CERTIFICATE-----', 'STIG Severity': nan, 'CVSS v4.0 Base Score': nan, 'CVSS v4.0 Base+Threat Score': nan, 'CVSS v3.0 Base Score': nan, 'CVSS v2.0 Temporal Score': nan, 'CVSS v3.0 Temporal Score': nan, 'VPR Score': nan, 'EPSS Score': nan, 'Risk Factor': nan, 'BID': nan, 'XREF': nan, 'MSKB': nan, 'Plugin Publication Date': '2008/05/19', 'Plugin Modification Date': '2021/02/03', 'Metasploit': nan, 'Core Impact': nan, 'CANVAS': nan}",
7,11002,,,,65.61.137.117,tcp,53,DNS Server Detection,A DNS server is listening on the remote host.,"The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.",,,,,8269.0,,"{'Plugin ID': '11002', 'CVE': nan, 'CVSS v2.0 Base Score': nan, 'Risk': nan, 'Host': '65.61.137.117', 'Protocol': 'tcp', 'Port': '53', 'Name': 'DNS Server Detection', 'Synopsis': 'A DNS server is listening on the remote host.', 'Description': 'The remote service is a Domain Name System (DNS) server, which\nprovides a mapping between hostnames and IP addresses.', 'Solution': 'Disable this service if it is not needed or restrict access to\ninternal hosts only if the service is available externally.', 'See Also': 'https://en.wikipedia.org/wiki/Domain_Name_System', 'Plugin Output': nan, 'STIG Severity': nan, 'CVSS v4.0 Base Score': nan, 'CVSS v4.0 Base+Threat Score': nan, 'CVSS v3.0 Base Score': nan, 'CVSS v2.0 Temporal Score': nan, 'CVSS v3.0 Temporal Score': nan, 'VPR Score': nan, 'EPSS Score': nan, 'Risk Factor': nan, 'BID': nan, 'XREF': nan, 'MSKB': nan, 'Plugin Publication Date': '2003/02/13', 'Plugin Modification Date': '2017/05/16', 'Metasploit': nan, 'Core Impact': nan, 'CANVAS': nan}",
8,11002,,,,65.61.137.117,udp,53,DNS Server Detection,A DNS server is listening on the remote host.,"The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.",,,,,8269.0,,"{'Plugin ID': '11002', 'CVE': nan, 'CVSS v2.0 Base Score': nan, 'Risk': nan, 'Host': '65.61.137.117', 'Protocol': 'udp', 'Port': '53', 'Name': 'DNS Server Detection', 'Synopsis': 'A DNS server is listening on the remote host.', 'Description': 'The remote service is a Domain Name System (DNS) server, which\nprovides a mapping between hostnames and IP addresses.', 'Solution': 'Disable this service if it is not needed or restrict access to\ninternal hosts only if the service is available externally.', 'See Also': 'https://en.wikipedia.org/wiki/Domain_Name_System', 'Plugin Output': nan, 'STIG Severity': nan, 'CVSS v4.0 Base Score': nan, 'CVSS v4.0 Base+Threat Score': nan, 'CVSS v3.0 Base Score': nan, 'CVSS v2.0 Temporal Score': nan, 'CVSS v3.0 Temporal Score': nan, 'VPR Score': nan, 'EPSS Score': nan, 'Risk Factor': nan, 'BID': nan, 'XREF': nan, 'MSKB': nan, 'Plugin Publication Date': '2003/02/13', 'Plugin Modification Date': '2017/05/16', 'Metasploit': nan, 'Core Impact': nan, 'CANVAS': nan}",
9,11219,,,,65.61.137.117,tcp,53,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,,,,6086.0,,"{'Plugin ID': '11219', 'CVE': nan, 'CVSS v2.0 Base Score': nan, 'Risk': nan, 'Host': '65.61.137.117', 'Protocol': 'tcp', 'Port': '53', 'Name': 'Nessus SYN scanner', 'Synopsis': 'It is possible to determine which TCP ports are open.', 'Description': ""This plugin is a SYN 'half-open' port scanner.  It shall be reasonably\nquick even against a firewalled target. \n\nNote that SYN scans are less intrusive than TCP (full connect) scans\nagainst broken services, but they might cause problems for less robust\nfirewalls and also leave unclosed connections on the remote target, if\nthe network is loaded."", 'Solution': 'Protect your target with an IP filter.', 'See Also': nan, 'Plugin Output': 'Port 53/tcp was found to be open', 'STIG Severity': nan, 'CVSS v4.0 Base Score': nan, 'CVSS v4.0 Base+Threat Score': nan, 'CVSS v3.0 Base Score': nan, 'CVSS v2.0 Temporal Score': nan, 'CVSS v3.0 Temporal Score': nan, 'VPR Score': nan, 'EPSS Score': nan, 'Risk Factor': nan, 'BID': nan, 'XREF': nan, 'MSKB': nan, 'Plugin Publication Date': '2009/02/04', 'Plugin Modification Date': '2025/07/14', 'Metasploit': nan, 'Core Impact': nan, 'CANVAS': nan}",
